q.frg.pt,be.pt.m,s4_new
0.060,14.20,43.2
0.016,12.21,35.1
0.019,6.90,37.4
-0.031,5.42,32.6
-0.046,9.65,36.5
0.021,13.21,47.6
0.060,11.94,43.9
0.003,11.21,55.4
0.028,13.01,33.1
0.029,17.09,40.9
0.038,17.19,41.8
0.027,18.83,42.3
0.050,17.44,42.4
-0.043,1.44,36.5
0.032,17.31,31.3
0.098,17.52,34.6
0.029,18.09,47.4
0.13,22.46,58.2
-0.0578,11.55,12.2
-0.0437,22.46,44.8
-0.0502,16.45,28.9
-0.048,8.08,43.1
0.0154,9.77,33.6
0.0079,16.07,34.5
0.019,12.37,35.7
0.0131,8.45,38.8
0.119,20.80,49.5
0.127,28.24,59.9
-0.012,18.54,50.6
-0.008,21.80,61.2
-0.004,22.27,88.9
-0.011,20.06,53.0
-0.007,21.57,46.3
0.008,20.13,69.8
-0.066,16.76,29.0
0.171,18.61,44.4
0.063,19.51,32.6
0.012,19.71,41.9
0.089,10.25,1.7
0.009,11.94,3.0
0.563,1.73,57.0
0.062,13.61,27.2
-0.007,14.56,28.1
0.004,15.55,32.2
0.014,16.37,26.9
0.017,15.65,37.6
-0.002,12.41,31.7
0.027,17.80,36.8
-0.070,16.73,24.7
0.068,6.64,5.8
0.338,7.26,1.4
-0.022,15.44,33.2
0.046,15.66,44.6
0.302,6.73,56.9
0.062,13.88,36.2
0.002,15.87,36.6
-0.009,15.60,12.9
0.072,14.67,27.5
0.889,1.80,26.1
0.010,14.41,22.4
0.014,11.95,23.6
0.053,13.91,43.5
0.065,18.53,35.9
0.111,15.76,35.8
-0.019,-3.70,12.4
-0.012,6.48,37.7
0.040,12.77,28.7
0.011,12.13,32.3
-0.035,0.80,19.4
-0.030,8.48,42.9
0.008,11.15,32.5
-0.031,0.46,20.1
-0.036,7.20,28.4
0.020,10.56,29.3
-0.028,0.23,19.3
-0.020,-3.17,15.5
0.041,16.34,34.6
0.061,16.86,35.6
0.055,-2.38,2.2
0.089,-5.77,-2.1
0.090,4.81,13.6
0.058,10.40,27.2
-0.035,12.22,45.3
-0.031,14.42,44.9
-0.027,12.07,45.2
-0.009,12.13,25.4
-0.023,14.94,11.2
-0.031,6.94,5.8
-0.027,10.50,23.2
-0.034,9.71,13.0
-0.036,7.32,4.3
-0.026,10.55,23.0
-0.025,7.40,14.0
-0.033,7.18,3.7
-0.006,6.52,18.3
-0.006,1.21,10.9
-0.012,13.82,51.3
-0.017,15.04,51.5
-0.030,13.33,33.3
-0.033,13.23,31.2
-0.006,10.53,44.0
-0.016,9.52,44.3
-0.020,16.27,53.0
0.616,15.18,45.4
0.600,20.23,44.5
-0.008,10.53,58.7
0.011,13.43,60.4
-0.021,14.51,54.9
-0.025,10.44,56.1
-0.030,14.65,56.9
-0.017,10.92,56.3
-0.008,14.76,55.6
-0.003,10.83,55.0
-0.018,11.00,53.3
-0.010,10.02,50.2
-0.018,9.92,51.9
-0.013,15.98,44.3
0.046,10.43,121.1
0.097,11.99,129.2
0.013,11.83,114.0
-0.013,11.64,99.2
-0.011,7.58,116.9
0.109,9.74,137.4
-0.057,12.36,28.6
-0.022,10.75,30.8
-0.020,15.09,27.7
-0.004,14.62,36.7
-0.010,15.29,37.5
-0.045,15.53,34.4
-0.084,18.08,25.4
0.078,19.32,58.4
-0.045,16.50,36.9
-0.050,15.92,31.4
-0.052,15.02,49.9
-0.044,15.54,46.5
-0.050,15.36,37.7
-0.049,13.11,40.1
-0.058,11.64,20.2
-0.051,14.77,38.3
-0.003,11.54,37.7
-0.011,15.15,35.0
-0.007,13.90,37.3
0.017,11.59,38.0
-0.007,16.39,54.6
-0.012,16.05,54.8
0.104,19.34,61.8
0.122,17.13,70.0
0.121,19.69,68.3
0.088,18.08,49.4
0.078,17.42,40.9
0.087,18.17,45.2
0.085,17.79,44.6
0.075,15.97,36.8
-0.040,10.48,54.3
-0.040,10.46,55.1
-0.031,10.74,54.2
0.054,17.82,33.5
0.051,17.17,35.3
0.048,13.53,49.8
0.116,20.53,45.6
0.027,12.08,38.9
0.10455,12.44,68.3
0.613,6.48,65
0.0895,11.31,68.625
0.0729,18.82,48.15
0.0526,17.00,39.975
0.0675,9.63,46.125
-0.0404,1.54,51.3
0.061,10.52,130.3901569
0.057,11.14,128.6356976
0.0532,10.80,127.3375223
0.051,11.24,125.9088814
-0.0211,6.10,65.325
-0.0193,10.84,69.225
0.0585,10.48,66.375
0.0542,6.53,65.475
0.1147,10.41,69.675
0.1049,8.03,69.45
0.1263,10.66,71.325
0.0921,12.97,68.55
-0.0284,8.48,32.8
-0.0243,8.09,31.6
-0.0253,1.02,31.1
-0.0203,8.63,31.1
-0.043,7.58,32.3
-0.054,7.32,28.8
-0.054,7.95,29.9
-0.049,9.58,40.4
-0.045,6.93,32.9
-0.046,7.72,32.7
-0.056,12.03,30.6
-0.050,8.48,31.9
0.02288,13.82,36.4
-0.044,13.40,28.1
-0.0309,0.08,32.0
-0.052,12.76,27.0
-0.0538,10.25,28.2
-0.0438,0.96,28.9
-0.0551,9.85,28.1
-0.0522,1.91,29.0
-0.047,9.54,31.7
-0.0498,8.19,25.4
-0.0451,11.58,27.1
-0.0332,1.01,32.0
-0.0508,10.34,29.1
-0.0213,8.57,24.2
-0.0391,9.99,24.3
0.1979,7.34,26.0
-0.0005,3.81,38.175
-0.0263,6.01,40.8
-0.0106,13.79,36.75
-0.0363,11.13,35.25
-0.0189,8.46,28.8717405
-0.0607,14.53,21.15
-0.0593,11.63,20.925
-0.0454,11.34,39
-0.009,15.22,35.175
-0.0557,15.56,37.725
0.0283,-0.58,16.05
0.073,6.63,32.85
0.0749,6.46,15.3
0.0783,4.86,14.475
-0.0078,12.76,23.625
-0.0581,12.65,22.2
-0.0568,13.08,21.9
-0.0581,13.06,23.475
-0.0522,9.43,8.025
0.0446,8.19,22.875
0.0798,11.64,24.825
0.0327,7.99,11.85
0.0617,8.78,25.425
0.0726,11.48,26.475
0.0583,5.19,12.075
-0.0832,11.14,37.12819225
-0.0546,14.82,29.932637
-0.0111,15.39,33.2246875
-0.0608,14.29,13.19539925
-0.0689,15.77,27.63292125
0.0446,19.95,47.625
0.0648,20.60,51.825
0.0911,19.33,57.225
0.0212,17.34,45.825
-0.0119,17.55,46.05
0.0234,19.80,45.45
-0.0063,14.02,33.877363
-0.063,16.13,28.46909525
0.0331,0.88,10.875
0.0649,9.41,29.7
0.0511,7.39,18.975
0.0171,13.95,32.4
0.0905,8.34,57.075
0.0193,13.82,32.4
0.0991,11.16,67.24613663
0.0116,13.25,30.6
0.1423,7.89,59.175
0.016,13.62,30.75
0.0949,6.62,59.25
0.018,13.92,32.925
0.0181,13.88,32.025
0.0986,3.87,57.075
0.1247,8.86,66.525
-0.02852,6.89,67.41573938
0.0151,16.32,31.425
0.1008,15.21,70.51065338
0.013,16.50,30.825
0.1018,13.43,60.525
0.1216,10.44,73.125
-0.0335,11.05,11.85233125
0.0961,10.59,67.67935875
-0.0336,14.66,39.75
0.0663,11.57,67.93394175
-0.0384,14.74,28.05
0.0628,9.49,68.625
-0.0215,16.43,35.325
0.0772,13.50,68.4
-0.0283,9.89,11.595751
0.0793,9.94,57.225
-0.0361,14.78,39
0.0649,6.11,58.096185
-0.0403,14.69,27.3
0.065,2.57,56.925
-0.0225,16.52,35.309326
0.0764,10.17,59.175
-0.0291,1.16,14.89877425
0.0789,5.77,62.85
-0.0279,11.66,39.525
0.0575,10.33,64.275
-0.027,8.72,40.425
0.0617,10.53,64.275
